,RID,smiles
331,R0000001013,*CCCCC(*)=*
332,R0000001014,*C=CC(C*)C(*)C*
333,R0000001029,*C=C(*)c1ccccc1*
334,R0000001030,*C=C(*)CCC*
335,R0000001033,*C=C(*)c1ccccc1C
336,R0000001034,*C=CC1CC(*)C(*)C1
337,R0000001035,*=Cc1ccccc1
338,R0000001045,*C=CC1CC(*)C(*)C1*
339,R0000001057,*C=C(*)CCCCCCCCCC*
340,R0000001059,*C=C(*)CCCCCC*
341,R0000001066,*C=CC1=C(*)CC(*)(*)C1
342,R0000001074,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(*)ccc1-2
343,R0000001075,*c1ccc(C2(c3ccc(*)cc3)c3cc(*)ccc3-c3ccc(*)cc32)cc1
344,R0000001076,*CCC(=*)c1ccccc1
345,R0000001077,*CC(*)C(*)*
346,R0000001081,*C=C(*)c1cc(*)ccc1*
347,R0000001086,*C=Cc1ccc2c(c1)C(CCCCCC*)(CCCCCC*)c1cc(C=*)ccc1-2
348,R0000001088,*c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(C=*)ccc1-2
349,R0000001096,*C=CCCCCCCCCCC(C*)CCCCCCCCC*
350,R0000001097,*c1ccc2ccc3cccc4ccc1c2c34
351,R0000001098,*C=CC(*)(*)C
352,R0000001100,*C=C(*)c1ccc2ccc3cccc4ccc1c2c34
353,R0000001101,*=CC=*
354,R0000001103,*c1ccc2c(c1)C(c1ccccc1)(c1ccc3ccc4cccc5ccc1c3c45)c1cc(*)ccc1-2
355,R0000001104,*C=C(*)c1cc(*)c(*)c(*)c1
356,R0000001111,*C1C(*)C2CC1C(*)C2*
357,R0000001121,*C(C)(C)CC
358,R0000001127,*c1cccc(C)c1C
359,R0000001129,*C1CCC2CCCCC2C1
360,R0000001130,*C1CC2CC1C1C3CCC(C3)C21
361,R0000001156,*c1ccc2c(c1)CCC2
362,R0000001169,*C1(C)C2CC3CC(C2)CC1C3
363,R0000001177,*C1CC(*)(C)C1
364,R0000001190,*c1ccc(C=*)cc1*
365,R0000001191,*c1ccc2c(c1)CCCC2
366,R0000001202,*C1CC(*)C2C1C1CC2C(*)(C)C1
367,R0000001220,*c1ccc(C#Cc2cc(C)c(C=*)cc2C)cc1
368,R0000001222,*c1ccc(C#Cc2cc(*)c(C=*)cc2*)cc1
369,R0000001239,*c1cc(C=*)cc(*)c1*
370,R0000001251,*C=CC(C)CCCCCCCCC*
371,R0000001252,*C#CC#CCCCCCCCC*
372,R0000001253,*C=CC(=*)C(*)=*
373,R0000001254,*C(=*)CCCCC
374,R0000001255,*C=C(*)C(C)(C)C
375,R0000001256,*CC(*)CCC(C)C=*
376,R0000001257,*C1c2ccccc2C(=*)c2ccccc21
377,R0000001258,*C1C=CC(C(*)(C)C)=C1
378,R0000001259,*C1C=C(C)C(*)C1
379,R0000001260,*C1C=C(C(*)(C)C)C2CC=CCC12
380,R0000001261,*C=CC1CCC(*)(C)C1
381,R0000001262,*c1ccc2c(c1)C(*)(C)CC2(C)C
382,R0000001263,*C1CCc2ccccc2C1*
383,R0000001264,*C=CC1CC(*)C2CC=CC12
