,corrected,RID,smiles
202,,R2028,*c1ccc2c(c1)C(=O)N(N1C(=O)c3cccc(*)c3C1=O)C2=O
206,,R2039,*CC(*)(C)N=C=O
207,,R2058,*N(*)C=O
220,,R2111,*CCC(=O)NO
221,,R2112,*c1ccc(*)n1C(=O)NO
222,,R2113,*CC(=O)NO
223,,R2115,*c1ccc2c(c1)c1cc(*)ccc1n2C(=O)NO
224,,R2124,*N=C(O)N=C(*)N=C(N)N
225,,R2125,*N=C(N=C(N*)N*)N=C(*)O*
227,,R2147,*N=C1C=CC(=NC2=CC(=O)C(*)=CC2=O)C=C1
228,,R2148,*N=C1C=CC(=NC2=CC(=O)C(*)=CC2=O)c2ccccc21
229,,R2214,*c1cc(*)c(O)c(C=Nc2cccnc2*)c1
230,,R2238,*c1ccc(N=Nc2ccc(O)c(C=NCCCCN=Cc3cc(*)ccc3O)c2)cc1
231,,R2246,*C(*)C(=O)NO
238,,R2372,*c1ccc2c(c1)C1(C=CC(C3=NC(*)CO3)(C3=NC(*)CO3)C=C1)c1cc(*)ccc1-2
239,,R2426,*CONC(*)=O
240,,R2433,*ONC(*)=O
241,,R2446,*ONC(=O)NO*
242,,R2475,*N1C(=O)c2ccc([Si](C)(C)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O
243,,R2493,*C1(C)OC(O)OC(C)NC1=O
244,,R2497,*C1=CC(C)C(*)C(=O)N1C
245,,R2499,*N1CC(O)=C(C2C(=O)C3=C(C2=O)C(C)(F)N3*)C1=O
246,,R2507,*C(=O)NONC(*)=O
247,,R2515,*N1C(=O)C2C(C=*)OC(C=*)C2C1=O
256,,R2546,*N1C(=O)c2cc3c(cc2C1=O)C(c1ccccc1)(C(F)(F)F)c1cc2c(cc1O3)Oc1cc3c(cc1C2(c1ccccc1)C(F)(F)F)C(=O)N(*)C3=O
257,,R2548,*N1C(=O)c2cc3c(cc2C1=O)C(c1ccccc1)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(*)C2=O
258,,R2558,*C=CC1OC(C=*)C2C(=O)N(*)C(=O)C12
259,,R2559,*C1CC(C=*)C2C(=O)N(*)C(=O)C12
260,,R2560,*C=CC1OC(*)C2C(=O)N(*)C(=O)C12
261,,R2561,*c1ccc2c(c1)C(=O)N(*)C2
262,,R2562,*ON1Cc2ccc(*)cc2C1=O
263,,R2564,*N1C(=O)c2cc3c(cc2C1=O)S(=O)(=O)c1cc2c(cc1S3(=O)=O)C(=O)N(*)C2=O
264,,R2573,*N1C(=O)CCC12CCC(=O)N2*
265,,R2638,*N1C(=O)c2cc3c(cc2C1=O)C1(CC3(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
266,,R2639,*N1C(=O)c2cc3c(cc2C1=O)C1(C)CCC3(C)c2cc3c(cc21)C(=O)N(*)C3=O
268,,R2729,*C=Nc1ccc(S(=O)(=O)c2ccc(N=Cc3ccc(*)o3)cc2)cc1
269,,R2747,*c1ccc2c(c1)C(=*)C(=O)N2
270,,R2748,*c1ccc2c(c1)C(=c1ccc(=c3ccc(=*)s3)s1)C(=O)N2
271,,R2765,*OC1=NC(=O)C(=Nc2ccc(N=*)cc2)C(=O)N1
272,,R2766,*OC1=NC(=O)C(=*)C(=O)N1
273,,R2767,*c1ccc(C2(*)c3ccccc3C(=O)N2*)cc1
274,,R2768,*=Nc1ccc(N=C2NC(=O)C(=Nc3ccc(N=C4C(=O)NC(=*)NC4=O)cc3)C(=O)N2)cc1
275,,R2769,*NC(=S)OC1=NC(=O)C(=Nc2ccc(N=*)cc2)C(=O)N1
276,,R2770,*NC(=S)OC1=NC(=O)C(=*)C(=O)N1
277,,R2771,*=Cc1ccc(C=NC(=S)NN=*)cc1
278,,R2774,*N1C(=O)c2ccc([Si](C)(C)O[Si](C)(C)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O
279,,R2775,*N1C(=O)c2ccc([Si](C)(C)O[Si](C)(C)O[Si](C)(C)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O
307,,R2960,*CC(*)C(=O)NN1CCCCC1
308,,R2996,*CC(*)(CCCCCCCC(C)C)C(N)=O
309,,R2997,*CC(*)(CCCC(C)C)C(N)=O
310,,R3003,*CC(*)(*)C(N)=O
311,,R3004,*C(*)C(*)(C)C(N)=O
312,,R3045,*N1C(=O)c2cc3c(cc2C1=O)C1(c2ccccc2-3)c2ccccc2-c2cc3c(cc21)C(=O)N(*)C3=O
313,,R3047,*N1C(=O)c2cc3c(cc2C1=O)C1(CC3(C)C)CC(C)(C)c2cc3c(cc21)C(=O)N(*)C3=O
314,,R3050,*N1C(=O)c2cc3c(cc2C1=O)OC1C=C2C(=CC1O3)C1(C(C)C)c3ccccc3C2(C(C)C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
315,,R3060,*N1C(=O)C2CC3C(=O)N(*)C(=O)C3CC2C1=O
316,,R3061,*N1C(=O)C2C(C1=O)C1C(=O)N(*)C(=O)C21
