,correction,RID,smiles
182,,R781,*C(*)(*)C(F)(F)F
183,,R796,*C(*)(C(F)(F)Cl)C(F)(F)Cl
184,,R807,*c1ccc(C(=C(Cl)Cl)c2ccc(*)cc2)cc1
185,,R808,*c1cc(C)c(*)c(Cl)c1
186,,R816,*c1nc2cc3nc(*)c(*)nc3cc2nc1*
187,,R818,*c1ccn(*)n1
188,,R820,*c1nc(*)nc(*)n1
189,,R821,*c1ncnc(*)n1
190,,R822,*c1nc(*)nc(C)n1
191,,R825,*c1ccc2c(c1)nc(*)n2C
192,,R826,*c1ccc2nc(*)n(C)c2c1
193,,R827,*c1c(*)c(Cl)c(Cl)c(Cl)c1Cl
194,,R829,*c1nnn(*)n1
195,,R830,*c1nnc(*)n1*
196,,R860,*C(Cl)C(*)(Cl)Cl
197,,R891,*c1ncncn1
198,,R895,*c1ccc2ccccc2n1
199,,R907,*CCl
200,,R908,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
201,,R909,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
202,,R913,*c1ccccc1Br
203,,R924,*CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
204,,R930,*c1ccc(*)c2ncccc12
205,,R931,*c1cccc2cccnc12
206,,R932,*c1ccc(Cl)c2cccnc12
207,,R938,*c1cccc2nsnc12
208,,R939,*c1ccc(*)c2nsnc12
209,,R940,*c1ccc(C)s1
210,,R946,*n1ncc2ccccc21
211,,R950,*C(*)C(*)Cl
212,,R953,*C=C(*)c1nc2ccccc2n1C
213,,R954,*C=C(*)c1nc2ccccc2[nH]1
214,,R957,*C=C(*)c1ccc(Cl)cc1
215,,R959,*CC(Cl)(Cl)Cl
216,,R961,*C(Cl)=C(*)c1ccccc1
217,,R962,*C(Cl)=C(*)CCCC
218,,R963,*C(Cl)=C(*)CCCCCC
219,,R964,*C(Cl)=C(*)CCCCCCCC
220,,R967,*n1c2ccccc2c2cc3ccccc3cc21
221,,R968,*n1c2ccccc2c2c3ccccc3ccc21
222,,R983,*n1c2ccc(Cl)cc2c2cc(Cl)ccc21
223,,R984,*n1c2ccc(Br)cc2c2cc(Br)ccc21
224,,R985,*n1c2ccc(I)cc2c2cc(I)ccc21
225,,R991,*C=C(*)c1cccc(C#C)n1
226,,R992,*C=C(*)c1cccc(Br)c1
227,,R993,*C=C(*)c1cccc(Cl)c1
228,,R1001,*C=C(*)F
229,,R1002,*CC(=*)C(Br)=C(*)Br
230,,R1005,*C(=*)c1cncnc1
231,,R1020,*C=CC1CC(*)C(*)(*)C1(F)F
232,,R1022,*C(Br)=C(*)c1ccccc1
233,,R1023,*C(I)=C(*)c1ccccc1
234,,R1024,*C(I)=C(*)I
235,,R1025,*C=CC1C2C=CC(C(C(F)(F)F)=C2C(F)(F)F)C1*
236,,R1028,*C(Br)=C(*)Br
237,,R1031,*C=C(*)c1c(F)c(F)c(*)c(F)c1F
238,,R1036,*C=C(*)c1cc(*)oc1*
239,,R1037,*C=C(*)c1ccsc1
240,,R1038,*C=C(*)c1cccs1
241,,R1039,*C=C(*)c1cc(C)sc1C
242,,R1040,*C=C(*)c1cc(*)sc1*
243,,R1041,*C=CC1CC(*)C(F)(F)C1(*)F
244,,R1042,*c1ccc2c(c1)c1ccccc1n2*
245,,R1050,*C#CC(=*)c1cnc2ccccc2c1
246,,R1051,*C(=*)c1cnc2ccccc2c1
247,,R1056,*c1ccc2c(c1)c1cc(*)ccc1n2*
248,,R1058,*CC(F)CCCCCC
249,,R1065,*c1ccc(C2=C(c3cc4ccccc4o3)C3C(C(F)(F)F)=C(C(F)(F)F)C2C3(C)C)s1
250,,R1067,*CCC(C)=C(*)Cl
251,,R1071,*n1cncn1
252,,R1072,*n1nnc2ccccc21
253,,R1091,*C=CCCCC(Cl)CCC*
254,,R1092,*C=CCCCCCCC(Cl)CCCCCC*
255,,R1093,*n1c(C)c(C)c2ccccc21
256,,R1094,*n1ccc2ccccc21
257,,R1122,*c1c2nc(c(*)c3ccc([nH]3)c(*)c3nc(c(*)c4ccc1[nH]4)C=C3)C=C2
258,,R1124,*C(*)C(F)(F)F
259,,R1131,*C1CCC(Cl)CC1
260,,R1135,*CCCCl
261,,R1141,*CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
