,rid,smiles,category
459,R1000169,[*]CC([*])c1ccc(C(=O)c2ccc(C)cc2)cc1,known
460,R1000170,[*]CC([*])c1ccc(F)cc1,known
473,R1000171,[*]CC([*])c1ccc(I)cc1,known
474,R1000172,[*]CC([*])c1ccc(N(C)C)cc1,known
475,R1000173,[*]CC([*])c1ccc(OC)cc1,known
484,R1000174,[*]CC([*])c1ccc(OCC)cc1,known
485,R1000175,[*]CC([*])c1ccc(OCCC)cc1,known
486,R1000176,[*]CC([*])c1ccc(OCCCC)cc1,known
487,R1000177,[*]CC([*])c1ccc(OCCC(C)C)cc1,known
488,R1000178,[*]CC([*])c1ccc(Oc2ccccc2)cc1,known
489,R1000179,[*]CC([*])c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,known
490,R1000180,[*]CC([*])c1ccc(S(=O)(=O)OCCC)cc1,known
491,R1000181,[*]CC([*])c1c(Cl)cccc1Cl,known
494,R1000182,[*]CC([*])c1ccc(C)cc1C,known
497,R1000183,[*]CC([*])c1ccc(C(C)C)cc1C(C)C,known
498,R1000184,[*]CC([*])c1ccc(F)cc1C,known
499,R1000185,[*]CC([*])c1ccc(Cl)cc1C,known
500,R1000186,[*]CC([*])c1ccc(Cl)cc1Cl,known
501,R1000187,[*]CC([*])c1cc(C)ccc1C,known
505,R1000188,[*]CC([*])c1cc(C(C)(C)C)ccc1C,known
506,R1000189,[*]CC([*])c1cc(C(C)C)ccc1C(C)C,known
507,R1000190,[*]CC([*])c1cc(Cl)ccc1Cl,known
509,R1000191,[*]CC([*])c1cc(F)ccc1F,known
511,R1000192,[*]CC([*])c1cc(C)ccc1F,known
513,R1000193,[*]CC([*])c1cc(Br)ccc1OCCCC,known
515,R1000194,[*]CC([*])c1cc(Br)ccc1OCC,known
517,R1000195,[*]CC([*])c1cc(Br)ccc1OC,known
518,R1000196,[*]CC([*])c1cc(Br)ccc1OCCC,known
519,R1000197,[*]CC([*])c1cc(Br)ccc1OC(C)C,known
521,R1000198,[*]CC([*])c1cc(Br)ccc1OCCCCC,known
522,R1000199,[*]CC([*])c1cc(Br)ccc1OCCC(C)C,known
523,R1000200,[*]CC([*])c1cc(C)cc(C)c1,known
527,R1000201,[*]CC([*])c1ccc(C)c(C)c1,known
531,R1000202,[*]CC([*])c1ccc(Cl)c(C)c1,known
533,R1000203,[*]CC([*])c1ccc(Cl)c(Cl)c1,known
541,R1000204,[*]CC([*])c1ccc(Cl)c(F)c1,known
542,R1000205,[*]CC([*])c1c(C)cc(C)cc1C,known
543,R1000206,[*]CC([*])c1cc(C)c(C)cc1C,known
547,R1000207,[*]CC([*])c1c(F)c(F)c(F)c(F)c1F,known
549,R1000208,[*]CC([*])(C)c1ccccc1,known
559,R1000209,[*]CC([*])(C)c1ccc(C(C)C)cc1,known
561,R1000210,[*]C(F)(F)C([*])(F)c1ccccc1,known
564,R1000211,[*]C(F)(F)C([*])(F)c1c(F)c(F)c(F)c(F)c1F,known
565,R1000212,[*]CC([*])c1cccc2ccccc12,known
570,R1000213,[*]CC([*])c1ccc(C(C)=O)cc1,known
571,R1000214,[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,known
573,R1000215,[*]CC([*])(C(=O)OC)c1ccccc1,known
574,R1000216,[*]CC([*])(C)c1ccc(C)cc1,known
578,R1000217,[*]CC([*])c1ccc(C(=O)C(F)(F)F)cc1,known
