,RID,smiles,fragment_fp,fragment_fp2
69,R0000002550,*c1cc(*)cc(C#N)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560df0>,"[2, 10, 1]"
70,R0000002610,*c1cc2c(cc1*)C1(CC2)CC(C)(C)c2cc3c(cc21)Cc1c(C#N)c(*)c(*)c(C#N)c1C3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560f30>,"[4, 35, 6]"
71,R0000002617,*c1c(*)c(C#N)c2c(c1C#N)Oc1cc3c(cc1O2)C1(CC3(C)C)CC(C)(C)c2cc3oc4c(C#N)c5oc6cc7ccccc7c(*)c6oc5c(C#N)c4oc3cc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5607b0>,"[3, 60, 11]"
72,R0000002619,*c1c(*)c(C#N)c2c(c1C#N)Oc1cc3cccc(*)c3cc1O2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560530>,"[3, 25, 4]"
73,R0000002624,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Cc1c(C#N)c(*)c(*)c(*)c1C3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560850>,"[5, 36, 6]"
74,R0000002626,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5604e0>,"[4, 37, 6]"
75,R0000002629,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3oc4c(C#N)c5oc6cc7c(cc6oc5c(C#N)c4oc3cc21)OC1(CC(C)(C)c2cc3c(cc2O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)CC7(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560c60>,"[4, 74, 13]"
76,R0000002630,*c1cc2c(cc1*)C1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc8c(cc7oc6c(C#N)c5oc4cc31)C(C)(C)CC1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc9c(cc7oc6c(C#N)c5oc4cc3O1)C(C)(C)CC1(CC(C)(C)c3cc4oc5c(C#N)c6oc7cc%10c(cc7oc6c(C#N)c5oc4cc3O1)C(C)(C)CC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)O%10)O9)O8)C(C)(C)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560170>,"[4, 148, 27]"
77,R0000002632,*c1cc2c(cc1*)C1(CC2(C)CC)c2cc3c(cc2C(C)(CC)C1C)Cc1c(C#N)c(*)c(*)c(C#N)c1C3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5605d0>,"[4, 40, 6]"
78,R0000002633,*c1cc2c(cc1*)C1(C)CCC2(C)c2cc3oc4c(C#N)c5oc6cc7c(cc6oc5c(C#N)c4oc3cc21)C(C)(C)CC1(CC(C)(C)c2cc3c(cc2O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)O7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560cb0>,"[4, 71, 14]"
